Question,A,B,C,D
Mục đích chính của việc quy định dung sai cho kích thước và hình dạng trong kết cấu thép là gì?,Để giảm chi phí sản xuất,Để thuận tiện cho việc vận chuyển,Để đảm bảo kết cấu đạt yêu cầu thiết kế và an toàn sử dụng,Để dễ dàng lắp ráp ngoài hiện trường
"Những linh kiện nào có thể lưu trữ nănLinh kiện nào có chức năng khuếch đại tín hiệu và có hai loại chính là BJT và FET, đồng thời được xem như nền tảng của mạch logic hiện đại?g lượng?",Tụ điện,Cuộn cảm,Cả A và B,Transistor
Loại then nào thường dùng trong mối ghép tháo lắp?,Then chốt côn,"Then bằng, then bán nguyệt, then vát",Then hàn,Then tán
Những thí nghiệm nào cần thực hiện đối với cuộn dây máy biến áp trong bảo trì định kỳ,Kiểm tra ngoại quan,Thí nghiệm dầu cách điện,Đo điện trở cách điện,Đo tỷ số biến áp
"Nếu một doanh nghiệp thường xuyên làm việc ngoài văn phòng nhưng cần truy cập tài liệu chung, Cloud Service Hub mang lại lợi ích nào quan trọng nhất?",Không cần mạng internet,Hỗ trợ đăng nhập một lần để truy cập nhiều dịch vụ,Chỉ cần dùng thiết bị di động,Không cần tài khoản người dùng
Tại sao 5S được xem là nền tảng của quản lý trực quan trong doanh nghiệp?,Vì 5S yêu cầu ghi chép báo cáo,"Vì 5S tạo môi trường rõ ràng, dễ quan sát và kiểm soát",Vì 5S tập trung vào nhân sự,Vì 5S thay thế toàn bộ quy trình quản lý
"Nếu tồn kho bán thành phẩm quá lớn, giải pháp Lean đề xuất từ VSM là gì?",Tăng số lượng công nhân,Mở rộng kho chứa,Tăng số ca sản xuất,Giảm tồn kho bán thành phẩm
"Theo báo cáo, lý do chính khiến tỷ lệ các unigene không được chú giải chức năng tương đối cao là gì?",Chất lượng RNA ban đầu không đủ tốt để giải trình tự.,Quá trình lắp ráp de novo bằng phần mềm Trinity gặp nhiều lỗi kỹ thuật.,Các unigene có kích thước quá ngắn để so sánh tương đồng.,Do hạn chế về số lượng gen tham chiếu của các loài thuộc chi Panax trên các cơ sở dữ liệu.
"Tại sao cần sử dụng phân tích Pareto khi chọn dòng sản phẩm, và kết quả mang lại là gì?",Vì Pareto dễ tính toán; kết quả là tăng số ca sản xuất,Vì Pareto giúp chia nhỏ nhiệm vụ; kết quả là biểu đồ chi tiết hơn,Vì Pareto giúp nhận diện nhóm sản phẩm mang lại giá trị cao nhất; kết quả là tập trung tối ưu hóa nhóm đó,Vì Pareto giúp giảm số lao động; kết quả là tiết kiệm nhân công
"Vì sao cần phân loại lỗ hổng ATTT theo các mức độ (nghiêm trọng, cao, trung bình, thấp) trong quy trình quản lý?","Vì việc phân loại giúp ưu tiên xử lý theo mức độ rủi ro, từ đó sử dụng hợp lý nguồn lực và giảm thiểu tác động đến hệ thống.","Vì chỉ lỗ hổng nghiêm trọng mới cần xử lý, các mức khác không cần quan tâm","Vì việc phân loại nhằm mục đích báo cáo thống kê cho ban lãnh đạo, không liên quan đến xử lý thực tế.",Vì phân loại giúp giảm số lượng ticket phải mở trên hệ thống ITSM.
"Trong hồ sơ dự thầu, yêu cầu về tiến độ thi công cần đảm bảo những tiêu chuẩn nào, và yêu cầu về an toàn lao động – phòng cháy chữa cháy cần được đáp ứng ra sao?","Tiến độ thi công phải dưới 120 ngày, có biểu đồ huy động nhân lực, thiết bị; an toàn lao động và PCCC cần có biện pháp hợp lý, khả thi, phù hợp biện pháp tổ chức thi công",Tiến độ thi công chỉ cần phù hợp với điều kiện thời tiết; an toàn lao động và PCCC không bắt buộc nếu có biện pháp thay thế.,"Tiến độ thi công phải dưới 200 ngày, không cần biểu đồ nhân lực; an toàn lao động chỉ cần có cam kết bằng văn bản","Tiến độ thi công không giới hạn thời gian, chỉ cần có biện pháp bù tiến độ; an toàn lao động và PCCC do chủ đầu tư chịu trách nhiệm chính"
"Trong giải pháp ảo hóa hạ tầng CNTT, mục tiêu loại bỏ những hạn chế nào, và phần mềm nào đóng vai trò trung tâm trong việc quản lý toàn bộ hệ thống ảo hóa?","Loại bỏ thời gian chết khi bảo trì, giảm chi phí điện và làm mát; phần mềm trung tâm là vCenter Server.","Loại bỏ nhu cầu cập nhật hệ điều hành, giảm dung lượng ổ cứng; phần mềm trung tâm là Microsoft SQL Server.","Loại bỏ yêu cầu bảo mật, giảm chi phí mua phần mềm bản quyền; phần mềm trung tâm là Oracle Database.","Loại bỏ quá trình sao lưu dữ liệu, giảm số lượng nhân sự quản trị; phần mềm trung tâm là Windows Server 2008 R2."
"Máy X-quang di động DR có trữ lượng nhiệt của anode là bao nhiêu, và máy X-quang DR 2 tấm cảm biến có trữ lượng nhiệt anode là bao nhiêu?",107 kHU và 200 kHU,107 kHU và 250 kHU,107 kHU và 300 kHU,125 kHU và 400 kHU
"Theo hồ sơ mời thầu, có bao nhiêu nội dung yêu cầu cơ bản mà nhà thầu phải thuyết minh trong phần đề xuất kỹ thuật?",5 nội dung,6 nội dung,7 nội dung,8 nội dung
"Trong quy trình bảo dưỡng hệ thống mạng, công việc nào cần thực hiện theo chu kỳ 6 tháng, và thiết bị nào yêu cầu kiểm tra trạng thái active/standby qua card RP khi switchover?",Audit hệ thống mạng lõi và switchover cặp thiết bị dự phòng; thiết bị NCS560 của Cisco.,Kiểm tra vệ sinh quạt làm mát và thay thế bộ lọc khí; thiết bị Juniper RE.,Rà soát logfile cũ và cập nhật thời gian hệ thống; thiết bị ASR9K của Cisco.,Switchover cặp node mạng toàn bộ; thiết bị N9K của Cisco.
Có bao nhiêu nhóm chỉ tiêu cấp điện chính được quy định,5 nhóm,6 nhóm,7 nhóm,9 nhóm
Tên gọi “5S” bắt nguồn từ đâu?,5 chữ cái đầu trong tiếng Anh,5 chữ cái đầu trong tiếng Nhật,5 nguyên tắc quản trị ISO,5 công đoạn sản xuất
"Theo Bảng 4.14 về chiến lược cạnh tranh khác biệt hóa, năng lực nào được các doanh nghiệp đánh giá với điểm trung bình (Mean) cao nhất?",Năng lực đổi mới sáng tạo về sản phẩm,Năng lực quản trị quan hệ khách hàng của DN,Năng lực nhân sự của DN,Năng lực truyền thông marketing sản phẩm của DN
Động cơ Toyota Raize 2024 có dung tích bao nhiêu cc?,998 cc,1496 cc,1200 cc,1000 cc
Những dịch vụ đám mây nào dưới đây được Cloud Service Hub hỗ trợ?,Dropbox,iCloud,Google Drive,Mega
"Theo phương án 1, sai số trung phương (RMSE) của thuật toán nội suy Random Forest (RF) là bao nhiêu?",2.15e-05,3.79e-06,3.26e-05,0.0044
"Theo Bảng 4.17, tỷ lệ phần trăm doanh nghiệp có lợi nhuận 'Giảm' và 'Ổn định' khi áp dụng chiến lược cạnh tranh 'Phản ứng' lần lượt là bao nhiêu?","19,05% và 33,33%","33,33% và 33,33%","6,67% và 26,67%","26,67% và 33,33%"
Đặc điểm chung của vật liệu dẫn điện là gì?,"Điện trở suất thấp, dễ tạo hình, ứng dụng làm dây dẫn và thiết bị điện","Điện trở suất cao, chịu nhiệt tốt, dùng chủ yếu trong cách điện",Chỉ dùng trong mạ kim loại,Luôn có giá thành rẻ hơn vật liệu cách điện
Lợi ích nào dưới đây không được nêu là kết quả của triển khai 5S?,"Giảm lãng phí vận chuyển, tìm kiếm",Nâng cao an toàn sản xuất,Giảm chi phí hoạt động,Tăng giá bán sản phẩm
"Trong công tác kiểm tra bằng thiết bị chuyên dụng với MCCB/ACB, những nội dung nào cần được thực hiện?",Kiểm tra vận hành đóng cắt,Đo điện trở tiếp xúc của cáp ngầm,Kiểm tra tiếp điểm và buồng dập hồ quang,Kiểm tra van áp suất dầu
"Nếu trong quá trình sản xuất, sai lệch chiều dài chi tiết vượt quá giá trị cho phép trong Bảng 1 của tiêu chuẩn, thì biện pháp xử lý hợp lý nhất là gì?",Bỏ qua vì sai lệch nhỏ không ảnh hưởng nhiều,Ghi chú lại trong hồ sơ nghiệm thu và vẫn đưa vào lắp ráp,"Gia công, điều chỉnh lại chi tiết hoặc loại bỏ nếu không thể khắc phục",Yêu cầu thiết kế thay đổi lại bản vẽ để phù hợp sai số
"Trong hạ tầng điện toán đám mây, cơ chế xác thực bằng dịch vụ Keystone được thiết lập ra sao, và yêu cầu về bảo vệ dữ liệu trong quá trình lưu trữ – truyền tin cần đảm bảo như thế nào?","Keystone phải được cấu hình với quyền sở hữu và quyền truy cập tệp tin đúng chuẩn, sử dụng kênh TLS để xác thực; dữ liệu phải được bảo vệ tránh mất mát, rò rỉ, thay đổi trong cả lưu trữ và truyền tin.","Keystone chỉ cần dùng tài khoản root để quản lý, không yêu cầu TLS; dữ liệu chỉ cần bảo vệ khi lưu trữ cục bộ.",Keystone có thể cấu hình tùy ý miễn sao chạy được; dữ liệu chỉ cần mã hóa khi truyền qua internet công cộng.,Keystone không cần xác thực TLS mà dùng HTTP thường; dữ liệu chỉ cần bảo vệ ở mức logic giữa các máy ảo.
"Khi đo độ dày thép, cần làm gì với lớp sơn phủ?",Loại bỏ lớp sơn phủ,Giữ nguyên,Sơn thêm một lớp,Làm phẳng bằng dũa
"Theo quy định, ai chịu trách nhiệm chính trong việc tạo điều kiện quản lý trang thiết bị và cử nhân viên tham gia bảo dưỡng, hiệu chuẩn?",Nhân viên vận hành thiết bị,Trưởng khoa xét nghiệm,Giám đốc bệnh viện,Nhân viên quản lý trang thiết bị
Máy X-quang di động kỹ thuật số (DR) có công suất tối đa của tủ điều khiển phát tia là bao nhiêu?,20 kW,32 kW,40 kW,50 kW
"Theo Bảng 1, áp suất làm việc tối đa của trụ nước chữa cháy là bao nhiêu?","1,5 MPa (15 bar)","2,0 MPa (20 bar)",1 MPa (10 bar),"0,6 MPa (6 bar) "
"Theo cấu trúc BOT được đề xuất, việc xây dựng, vận hành và bảo dưỡng hồ điều tiết thuộc về trách nhiệm của bên nào?",Phần tư nhân,Phần công,Cả hai bên công và tư,JICA
"Theo Bảng 2.12, rào cản chính về phía Cung và phía Cầu đối với thị trường thiết bị chuyển đổi Năng lượng tái tạo (NLTT) lần lượt là gì?",Công nghệ phức tạp và Chi phí vận hành cao,Suất đầu tư còn cao và Khả năng tài chính của hộ gia đình,Phụ thuộc vào nhập khẩu và Niềm tin của người tiêu dùng,Thiếu dịch vụ cung ứng và Thói quen tiêu dùng
"“Sạch sẽ” (Seiso) mang ý nghĩa gì, và nó hỗ trợ thế nào cho “Săn sóc” (Seiketsu)?","Seiso: giữ nơi làm việc luôn sạch; Seiketsu: duy trì tiêu chuẩn vệ sinh; cả hai tạo môi trường an toàn, lâu dài",Seiso: loại bỏ vật dụng; Seiketsu: phân công nhiệm vụ; cả hai tối ưu hóa nhân lực,Seiso: bảo dưỡng thiết bị; Seiketsu: lưu trữ tài liệu; cả hai tăng hiệu suất văn phòng,Seiso: kiểm tra kho; Seiketsu: quản lý tài chính; cả hai nâng cao lợi nhuận
"Vì sao trong quy hoạch cấp nước đô thị, tỷ lệ cấp nước sinh hoạt của dân số phải đạt tối thiểu 80–90% ở giai đoạn đầu và 90–100% ở giai đoạn dài hạn",Vì tỷ lệ này đảm bảo công bằng xã hội và đáp ứng các tiêu chuẩn quốc tế về quyền tiếp cận nước sạch.,Vì tỷ lệ này chỉ nhằm giảm chi phí đầu tư ban đầu.,Vì tỷ lệ này để dễ dàng tính toán cho các công trình xử lý nước.,Vì tỷ lệ này quy định để tăng doanh thu cho các công ty cấp nước.
"Nếu một quá trình có biểu đồ phân bố dạng dẹt, bạn suy ra điều gì?",Quá trình ổn định cao,"Độ biến thiên lớn, thiếu kiểm soát",Có sự sai lệch ngẫu nhiên nhỏ,Tốt hơn dạng chuông
"Nếu thông tin thu thập khi khảo sát sơ đồ dòng hiện trạng không đầy đủ, hậu quả là gì?",Không nhận diện đúng bản chất và quy luật của vấn đề,Doanh nghiệp sản xuất nhanh hơn,Biểu đồ tự động sửa lỗi,Tăng độ chính xác số liệu
"Trong PowerPoint, phím tắt nào giúp mở tập tin đã lưu và thao tác nào dùng để xóa nhanh một Slide đang chọn?",Ctrl + M và nhấn Insert,Ctrl + S và nhấn Backspace,Ctrl + O và nhấn Delete,Ctrl + P và nhấn Esc
Đâu là một trong những kết luận chính khi so sánh hiệu quả kinh doanh giữa các doanh nghiệp áp dụng chiến lược cạnh tranh (CLCT) chủ động và CLCT phản ứng?,CLCT phản ứng giúp tăng lợi nhuận tốt hơn CLCT chủ động,Cả hai cách thức đều mang lại hiệu quả kinh doanh tổng thể tương đương nhau.,Chủ động triển khai CLCT giúp doanh nghiệp tăng doanh thu và lợi nhuận tốt hơn so với cách thức phản ứng.,Không có sự khác biệt rõ rệt về chỉ số ROA và ROE giữa hai cách thức.
"Theo Bảng 3.8 tài liệu Public_595, nhiệt độ nào cho hiệu suất lên men vang dứa cao nhất?",20°C,24°C,28°C,32°C
"Tổng số nhà máy thủy điện (bao gồm cả công suất lớn, vừa và nhỏ) đang hoạt động tại vùng Trung du miền núi phía Bắc là bao nhiêu?",41,158,168,330
Kể tên ba loại bộ truyền ma sát phổ biến và công dụng chính của chúng?,"Bánh ma sát trụ, bánh ma sát côn, bộ truyền đai dẹt – dùng để truyền công suất giữa các trục","Bánh ma sát côn, bộ truyền xích, tay quay – dùng để tạo dao động","Bánh ma sát trụ, thanh răng, vít truyền – dùng để biến đổi năng lượng nhiệt","Bộ truyền đai dẹt, ổ chặn, nối bản lề – dùng để giảm tải trọng"
"Trong các loại nối trục, nối nào cho phép hấp thụ dao động và giảm chấn động?",Nối cứng,Nối cứng an toàn,Nối đàn hồi,Nối bản lề
Tóm tắt các thành phần có thể chèn vào Slide và cách tùy chỉnh giao diện/hiệu ứng trình chiếu.,Chỉ chèn được văn bản,Chỉ chèn được hình ảnh và video,"Có thể chèn văn bản, hình ảnh, âm thanh, video nhưng không đổi nền","Có thể chèn văn bản, hình, video, âm thanh; thay đổi màu nền, Template; tạo hiệu ứng chữ, hình, chuyển Slide"
Mối hàn đối đầu vát chữ V đơn khác gì so với mối hàn đối đầu vuông?,"Có rãnh vát mép, dễ thâm nhập mối hàn hơn","Dễ thực hiện hơn, không cần vát mép",Chỉ dùng cho vật liệu nhôm,Không dùng để truyền lực
"Để hỗ trợ TLS tự ký, giải pháp cần cung cấp những tính năng nào?",Cho phép tạo chứng thư điện tử tự ký (Self-signed) TLS,Cho phép chứng thư điện tử được CA tin cậy cấp,Bắt buộc tất cả chứng thư đều do CA quốc tế cấp,Chỉ cho phép chứng thư gán cho tài khoản root
"Chức năng đăng nhập một lần (Single Sign-On) trong Cloud Service Hub mang lại lợi ích chính nào, và tính năng OCR (Nhận diện ký tự quang học) trong Cloud Service Hub hỗ trợ người dùng như thế nào?","Single Sign-On cho phép truy cập nhiều dịch vụ đám mây bằng một lần đăng nhập, và OCR giúp chuyển hình ảnh/tài liệu quét thành văn bản có thể tìm kiếm.","Single Sign-On giúp giảm dung lượng tệp tin, và OCR có chức năng tự động dịch văn bản sang nhiều ngôn ngữ.","Single Sign-On hỗ trợ tăng tốc độ in, và OCR giúp nén tệp PDF để tiết kiệm dung lượng.","Single Sign-On cho phép in trực tiếp từ điện thoại, và OCR hỗ trợ gửi tài liệu đến email của người dùng."
"Nếu vẽ sai quy ước (ví dụ dùng nét đậm cho đường đáy răng), hậu quả có thể là gì?",Bản vẽ đẹp mắt hơn,Không ảnh hưởng gì,"Dễ gây hiểu nhầm khi chế tạo, lắp ráp",Tiết kiệm thời gian vẽ
"Trong tài liệu Public_478, phương pháp thiết kế nào cho phép điều chỉnh tham số β để cân bằng độ gợn râu và độ dốc?",Window Hamming,Window Kaiser,Parks–McClellan,Butterworth
Sơ đồ chuỗi giá trị (Value Stream Mapping - VSM) có mục đích chính là gì?,Xác định hoạt động tạo giá trị và không tạo giá trị để cải tiến,Chỉ đo lường thời gian sản xuất,Tính toán chi phí nguyên vật liệu,Lập kế hoạch marketing
"Dựa vào Bảng 2.8, có tổng cộng bao nhiêu chuyên gia được khảo sát có thâm niên hoạt động từ 20 năm trở lên?",80,45,23,68
"Theo Bảng 1, đường kính trong của họng lớn và họng nhỏ trên trụ nổi lần lượt là bao nhiêu?", 125 mm và 69 mm,110 mm và 69 mm,350 mm và 270 mm,110 mm và 125 mm
"Theo yêu cầu vận hành, tình trạng kỹ thuật của trụ nước phải được kiểm tra với tần suất như thế nào?", Ít nhất một lần mỗi năm," Ít nhất hai lần trong năm, khoảng cách giữa hai lần không quá 6 tháng.",Sau mỗi lần được sử dụng để chữa cháy.,Chỉ khi có yêu cầu từ cơ quan có thẩm quyền
"Theo bảng ""Các nhóm nhiệm vụ ưu tiên thực hiện"", thời gian thực hiện và tổng vốn đầu tư dự kiến cho nhiệm vụ ""Xây dựng Trung tâm điều hành thành phố thông minh"" lần lượt là bao nhiêu?","2019-2022 và 18,00 tỷ đồng","2019-2020 và 15,00 tỷ đồng","2019-2021 và 35,00 tỷ đồng","2020-2022 và 10,00 tỷ đồng"
Bảng trong Public 507 cung cấp những thông tin gì?,"Điện trở suất, hệ số nhiệt, nhiệt độ nóng chảy, ứng dụng",Chỉ có công suất truyền tải và độ bền cơ học,Độ cứng và khối lượng riêng,Độ dẫn nhiệt và hệ số giãn nở nhiệt
"Nội dung chính của phần ""Thực nghiệm"" trong tài liệu Public_576 là gì?","Giới thiệu chi tiết về lý thuyết và công thức toán học của các thuật toán Hồi quy tuyến tính (LR), Random Forest (RF) và K-lân cận gần nhất (KNN)",Trình bày bảng tọa độ và độ cao chi tiết của 7 điểm hạng III và 74 điểm hạng IV được sử dụng làm dữ liệu đầu vào cho mô hình,"Sử dụng bộ dữ liệu đo cao GPS và thủy chuẩn để so sánh độ chính xác của ba thuật toán nội suy (KNN, LR, RF) thông qua các phương án thực nghiệm khác nhau",Phân tích ưu và nhược điểm của việc sử dụng phương pháp đo cao bằng GPS so với phương pháp đo thủy chuẩn truyền thống.
"Trong bảo dưỡng thiết bị theo quý, kỹ thuật viên cần thực hiện những công việc nào?",Rà soát và xóa logfile cũ,Cập nhật thời gian hệ thống,Thay thế card SUP,Lắp đặt thiết bị mới
Cloud Service Hub hỗ trợ chức năng quét với độ phân giải tối đa là bao nhiêu dpi?,200 dpi,300 dpi,400 dpi,600 dpi
Cáp quang được cấu tạo từ vật liệu nào để truyền tín hiệu ánh sáng?,Kim loại và nhựa tổng hợp,Sợi thủy tinh hoặc plastic tinh chế,Dây đồng mạ kẽm,Nhôm và thép không gỉ
Tổn thất áp lực dọc đường ở một đoạn ống dài $L$ (m) được nêu gần đúng bởi công thức nào?,"$\Delta P = \dfrac{A\,Q}{100}\,L$","$\Delta P = \dfrac{Q^{2}\,L}{100\,K_T}$","$\Delta P = \dfrac{A\,Q^{2}}{L}$","$\Delta P = K_T\,Q\,L$"
Điểm khác biệt quan trọng giữa sơ đồ chuỗi giá trị và sơ đồ quy trình chi tiết là gì?,VSM đi sâu vào từng thao tác nhỏ,VSM tập trung vào quản lý kho,VSM chỉ quan tâm đến dữ liệu tài chính,VSM tập trung vào dòng vật chất và thông tin thay vì chi tiết từng nhiệm vụ
Tổng chi phí cơ bản cho dịch vụ kỹ thuật ở giai đoạn giám sát xây dựng (tính bằng JPY) là bao nhiêu?,"655,773,666 JPY","452,232,672 JPY","1,108,006,338 JPY","498,140,000 JPY"
"Vì sao trong quy trình lại phân chia thành nhiều tầng (Tier 1, Tier 2, Tier 3) thay vì chỉ có một bộ phận xử lý sự cố ATTT?","Vì phân tầng giúp chia nhỏ khối lượng công việc, đảm bảo sự cố được xử lý theo mức độ phức tạp và năng lực chuyên môn.","Vì chỉ Tier 1 có quyền quản lý ticket, còn các tầng khác chỉ hỗ trợ.","Vì SOC Manager chỉ muốn theo dõi, không trực tiếp xử lý sự cố","Vì việc phân tầng chỉ nhằm mục đích tăng tính hình thức, không ảnh hưởng đến hiệu quả xử lý."
Công nghệ ảo hóa trong hệ thống được đề xuất sử dụng trong tài liệu Public_609 là gì?,Hyper-V,Vmware,Proxmox,XenServer
"Để xác định sơ đồ dòng hiện trạng, doanh nghiệp cần thực hiện những bước nào và thu thập thông tin gì?","Khảo sát tổng thể nhà máy; thu thập thông tin về công việc, bộ phận, thời gian ca, lịch bảo trì",Chỉ hỏi lãnh đạo cấp cao; thu thập dữ liệu tài chính,Phỏng vấn khách hàng; ghi nhận doanh thu,Đo lường tự động; thu thập dữ liệu bán hàng
"Theo kết quả khảo sát các chuyên gia trong tài liệu, đâu là những rào cản chính từ cả phía Cung và phía Cầu đối với việc phát triển thị trường thiết bị chuyển đổi năng lượng tái tạo tại vùng Trung du miền núi phía Bắc?", Phụ thuộc vào việc nhập khẩu thiết bị và thiếu các dịch vụ cung ứng đồng bộ trên thị trường,Tiềm năng năng lượng gió thấp và thiếu các chính sách đồng bộ của nhà nước về quy hoạch,Phía Cung gặp khó khăn do suất đầu tư cao và công nghệ phức tạp; Phía Cầu bị hạn chế bởi khả năng tài chính của người dân và niềm tin của người tiêu dùng,Người dân thiếu kiến thức vận hành thiết bị và chi phí vận hành sau khi đầu tư còn khá cao
"Dựa vào Bảng 4.16, hãy tính tổng số lượng doanh nghiệp có tốc độ tăng trưởng doanh thu ở mức 'Ổn định' hoặc 'Tăng' trên cả hai nhóm áp dụng chiến lược (chủ động và phản ứng).",51,60,76,81
Đồng thau và thiếc có đặc điểm và ứng dụng gì nổi bật?,"Đồng thau dùng cho lá tiếp xúc, thiếc dùng làm chất hàn","Đồng thau chịu được nhiệt cao, thiếc chủ yếu làm dây dẫn",Cả hai đều được dùng để chế tạo cầu chì,Cả hai đều có điện trở suất nhỏ hơn đồng đỏ
Tiêu chuẩn TCXDVN 170:2007 áp dụng cho loại thép nào?,Thép các bon và thép hợp kim thấp có giới hạn chảy 225–435 N/mm²,Thép không gỉ có giới hạn chảy trên 500 N/mm²,Thép hợp kim đặc biệt dùng trong thiết bị nâng chuyển,Thép tấm cán nguội dùng cho đường sắt
"Khi nào cần dùng mối ghép then hoa, và có những dạng răng nào thường gặp?",Khi truyền tải nhỏ; răng hình thang,Khi lắp tạm thời; răng cong,"Khi truyền mômen lớn; răng chữ nhật, thân khai, tam giác",Khi chỉ cần định vị; răng vát xiên
Tại sao khi lắp ráp nên chia nhỏ thành các cụm lắp con?,Giúp dễ quản lý và tiết kiệm thời gian xử lý,Giảm số chi tiết cơ khí,Đảm bảo độ chính xác tuyệt đối,Tránh cần ràng buộc
"Khi vẽ sơ đồ chuỗi giá trị, cần xác định những dòng thông tin nào từ khách hàng và nhà cung ứng?","Thông tin đơn hàng, số lượng, cam kết giao hàng; nhu cầu vật tư và khả năng đáp ứng",Thông tin marketing và giá bán,Chỉ thông tin kho thành phẩm,Chỉ số nhân công và chi phí vận hành
"Dựa vào tài liệu Public_586, chi phí xây dựng đập chắn bằng tường bê tông cao hơn bao nhiêu so với phương án xây bằng đá hộc có độ dốc?","5,5 triệu USD","14,0 triệu USD","8,5 triệu USD","19,5 triệu USD"
"Trong tài liệu Public_632, có tổng cộng bao nhiêu loại thiết bị được mô tả chi tiết kèm yêu cầu kỹ thuật?",2,3,4,5
"Nếu trên bản vẽ không ghi rõ chiều dài đoạn hàn trong mối hàn ngắt quãng, hậu quả là gì?",Không ảnh hưởng,Người gia công khó xác định và có thể hàn sai quy cách,Mối hàn luôn bền hơn,Tự động lấy chiều dài chuẩn
"Theo Bảng 3.9 tài liệu Public_595, hàm lượng rượu và đường sót ở môi trường lên men có pH ban đầu là 4 lần lượt là bao nhiêu?","11,03% V/V và 5,57 g/l","10,08% V/V và 5,03 g/l","11,16% V/V và 4,48 g/l","11,01% V/V và 4,64 g/l"
"Theo Bảng 3.1, chỉ số độ sạch (A260/A280) của mẫu RNA C4.1 là bao nhiêu?","1,96"," 
2,08"," 
2,11"," 
1,90"
Nội dung chính của Giai đoạn I trong Kế hoạch triển khai dự án cấp nước tỉnh Bình Dương là gì?,Chỉ bao gồm xây dựng công trình và dịch vụ kỹ thuật.,Chỉ bao gồm phần chuẩn bị của chủ dự án và thu hồi đất.,"Bao gồm Xây dựng công trình, Dịch vụ Kỹ thuật, và Phần chuẩn bị của chủ dự án.","Bao gồm Vận hành, bảo dưỡng và giám sát xây dựng."
"Dựa vào Bảng 3.1, hãy tính năng lượng liên kết trung bình của dẫn xuất VK3-1 trên cả 6 mục tiêu gắn kết được liệt kê.",-7.26 kcal.mol-1,-6.33 kcal.mol-1,-5.88 kcal.mol-1,-6.58 kcal.mol-1
"Theo tài liệu, đơn vị nào chủ trì nhiệm vụ ""Xây dựng Trung tâm điều hành thành phố thông minh""?", Văn phòng Ủy ban nhân dân tỉnh,Sở Giáo dục và Đào tạo,Sở Thông tin và Truyền thông,Các doanh nghiệp viễn thông 
"Hình dạng 'chuông' của biểu đồ phân bố phản ánh điều gì, và ý nghĩa quản lý là gì?","Quá trình ổn định, phân bố chuẩn",Dữ liệu bị pha trộn,Có giá trị bất thường,Độ rộng nhóm không phù hợp
"Theo điều kiện số lượng đầu phun tối thiểu $n \ge \dfrac{S}{\Omega}$ với $\Omega = L^2$. Nếu diện tích cần bảo vệ $S=180\,\mathrm{m^2}$ và khoảng cách giữa các đầu phun $L=3\,\mathrm{m}$, hãy chọn $n$ nhỏ nhất thỏa mãn.",20,18,22,15
"chỉ tiêu cấp điện cho trường học phổ thông có điều hòa nhiệt độ là bao nhiêu, và chỉ tiêu cho nhà trẻ/mẫu giáo không có điều hòa là bao nhiêu?","0,1 kW/HS và 0,15 kW/cháu","0,15 kW/HS và 0,2 kW/cháu","0,2 kW/HS và 0,1 kW/cháu","0,25 kW/HS và 0,3 kW/cháu"
"Trong chức năng Website, người dùng có thể thực hiện những thao tác nào sau đây",Đổi mật khẩu tài khoản đăng nhập website,Xem lịch sử IP đăng nhập tài khoản,Nhân bản website,Quản lý phiếu chi
"Nếu biểu đồ phân bố có dạng 2 đỉnh, điều này cho thấy gì và cần làm gì?",Quá trình rất ổn định,Dữ liệu bị cắt cụt,Do công cụ đo sai,Hai phân bố khác nhau bị trộn lẫn
Nguồn pin 9V của đầu báo WSD-1 có thể sử dụng liên tục tối đa bao lâu?,36 tháng,24 tháng,12 tháng,48 tháng
"Trong tiêu chí an toàn thông tin cho hạ tầng điện toán đám mây, có bao nhiêu tính năng cơ bản được liệt kê trong phần “Yêu cầu cơ bản về tính năng an toàn thông tin”?",10,12,14,15
"Dựa vào Bảng 1, chiều cao của trụ nổi chênh lệch so với trụ ngầm là bao nhiêu?",530 mm,970 mm,1500 mm,2470 mm
Bộ truyền xích khác bộ truyền đai ở điểm nào?,Đều dùng ma sát để truyền động,Đai và xích đều không ăn khớp,"Xích dễ trượt, đai không trượt","Xích truyền động bằng ăn khớp, đai truyền động bằng ma sát"
Có bao nhiêu chức năng trong hệ thống WEB2S_V23.10,5 chức năng,6 chức năng,7 chức năng,8 chức năng
"Nếu tham số insecure trong cấu hình dịch vụ (ví dụ: keystone_authtoken) được đặt giá trị True, điều đó có thể dẫn đến rủi ro gì?",Hệ thống vẫn đảm bảo an toàn tuyệt đối,"Các kết nối TLS có thể bị bỏ qua, làm giảm tính bảo mật",Máy ảo sẽ không thể tách biệt logic,Người dùng không thể thay đổi mật khẩu
Tại sao không nên chia nhỏ hoạt động thành nhiều nhiệm vụ nhỏ khi vẽ sơ đồ chuỗi giá trị?,Vì sẽ giúp biểu đồ dễ đọc,Vì sẽ làm biểu đồ phức tạp và không đạt mục đích mô tả dòng chảy,Vì dễ bỏ sót công việc,Vì giảm số công đoạn hiển thị
